x,value
-19.845,4.687381732421023
-19.844,4.608220751282183
-19.843,4.5304094998112285
-19.842,4.453926829294126
-19.841,4.378748339237364
-19.84,4.304851725441735
-19.839,4.232213565161617
-19.838,4.160811013171784
-19.837,4.090625740973054
-19.836,4.02163446241676
-19.835,3.9538148178493486
-19.834,3.8871487881702373
-19.833,3.821615833457564
-19.832,3.757197160958333
-19.831,3.693872266729522
-19.83,3.63161943811794
-19.829,3.570425390869379
-19.828,3.5102679013805074
-19.827,3.451131368618875
-19.826,3.392995994894145
-19.825,3.3358452491473205
-19.824,3.2796637107584132
-19.823,3.224430615394944
-19.822,3.1701343772674906
-19.821,3.1167564859546677
-19.82,3.0642799832124887
-19.819,3.012691244503855
-19.818,2.9619754181542333
-19.817,2.9121145867035936
-19.816,2.8630974032252294
-19.815,2.8149047904106084
-19.814,2.7675274577987796
-19.813,2.7209504702238716
-19.812,2.675158015350758
-19.811,2.6301384585564827
-19.81,2.5858762027303253
-19.809,2.542360940338184
-19.808,2.499577761132855
-19.807,2.4575157052566468
-19.806,2.4161619918463595
-19.805,2.3755042866537806
-19.804,2.3355309718779944
-19.803,2.296230020858838
-19.802,2.257589691218547
-19.801,2.219600181166284
-19.8,2.182248148761375
-19.799,2.1455244000157165
-19.798,2.109417482752788
-19.797,2.0739169630072305
-19.796,2.039012949217926
-19.795,2.004695334448571
-19.794,1.9709533536163386
-19.793,1.9377781977655986
-19.792,1.9051590574548745
-19.791,1.8730877207415482
-19.79,1.8415539682906203
-19.789,1.81055003942776
-19.788,1.780064720462422
-19.787,1.750090407880735
-19.786,1.7206197093941857
-19.785,1.6916420442937903
-19.784,1.6631501234075987
-19.783,1.6351353078827315
-19.782,1.6075900114650568
-19.781,1.5805064759870644
-19.78,1.5538758437657565
-19.779,1.5276910834916357
-19.778,1.5019449997299166
-19.777,1.4766295540192527
-19.776,1.4517378507593133
-19.775,1.4272628005643142
-19.774,1.4031974302464025
-19.773,1.3795342576241731
-19.772,1.3562673986695404
-19.771,1.3333893430967982
-19.77,1.3108940511342466
-19.769,1.2887750498376265
-19.768,1.2670259416499166
-19.767,1.2456401918872702
-19.766,1.2246123750817581
-19.765,1.2039352653469715
-19.764,1.183604814959792
-19.763,1.1636136494070308
-19.762,1.1439566824906868
-19.761,1.1246284519923033
-19.76,1.1056228342935341
-19.759,1.0869350386411907
-19.758,1.0685594383788053
-19.757,1.0504913272551728
-19.756,1.0327245142484793
-19.755,1.0152548304552431
-19.754,0.9980769671908571
-19.753,0.981186161146601
-19.752,0.9645775907105624
-19.751,0.9482463171122176
-19.75,0.9321880820204144
-19.749,0.9163978985327391
-19.748,0.9008717996861353
-19.747,0.8856049316597151
-19.746,0.870593151666712
-19.745,0.855832228675574
-19.744,0.8413178199524673
-19.743,0.8270459148769459
-19.742,0.8130122345882143
-19.741,0.7992134707158147
-19.74,0.7856452044053691
-19.739,0.7723035123509717
-19.738,0.759184657473682
-19.737,0.7462851951468316
-19.736,0.7336013392471263
-19.735,0.7211295193642269
-19.734,0.7088660219102697
-19.733,0.6968076545454991
-19.732,0.6849507829035222
-19.731,0.6732920714278916
-19.73,0.6618283769388438
-19.729,0.6505563910228386
-19.728,0.6394725958436369
-19.727,0.6285745468113748
-19.726,0.6178587194506006
-19.725,0.6073219094989343
-19.724,0.5969614294546906
-19.723,0.5867743742880931
-19.722,0.5767577247970356
-19.721,0.5669085517847904
-19.72,0.557224541236997
-19.719,0.5477023244763841
-19.718,0.5383398057050894
-19.717,0.5291339054702269
-19.716,0.5200820634013508
-19.715,0.511181964566257
-19.714,0.502430882432726
-19.713,0.4938262853333469
-19.712,0.48536598335956355
-19.711,0.47704759621666926
-19.71,0.46886841495885084
-19.709,0.46082638810291937
